Date,Value
1947-07-01,4.62
1947-08-01,5.41
1947-09-01,3.88
1947-10-01,7.26
1947-11-01,4.27
1947-12-01,0.8
1948-01-01,3.64
1948-02-01,2.49
1948-03-01,4.78
1948-04-01,3.51
1948-05-01,5.7
1948-06-01,5.64
1948-07-01,3.84
1948-08-01,8.59
1948-09-01,4.6
1948-10-01,2.55
1948-11-01,6.36
1948-12-01,7.11
1949-01-01,4.35
1949-02-01,1.93
1949-03-01,2.91
1949-04-01,5.15
1949-05-01,3.37
1949-06-01,6.81
1949-07-01,7.85
1949-08-01,9.12
1949-09-01,1.46
1949-10-01,3.29
1949-11-01,1.68
1949-12-01,1.8
1950-01-01,2.4
1950-02-01,2.61
1950-03-01,2.17
1950-04-01,1.71
1950-05-01,8.42
1950-06-01,2.73
1950-07-01,5.21
1950-08-01,2.74
1950-09-01,6.1
1950-10-01,2.43
1950-11-01,1.26
1950-12-01,3.91
1951-01-01,1.03
1951-02-01,2.19
1951-03-01,4.06
1951-04-01,4.47
1951-05-01,1.33
1951-06-01,5.37
1951-07-01,2.33
1951-08-01,1.63
1951-09-01,1.84
1951-10-01,1.12
1951-11-01,3.4
1951-12-01,3.83
1952-01-01,4.44
1952-02-01,2.58
1952-03-01,3.67
1952-04-01,4.76
1952-05-01,3.53
1952-06-01,2.12
1952-07-01,1.86
1952-08-01,7.79
1952-09-01,0.89
1952-10-01,1.17
1952-11-01,3.16
1952-12-01,3.14
1953-01-01,2.78
1953-02-01,3.08
1953-03-01,5.13
1953-04-01,2.69
1953-05-01,4.12
1953-06-01,5.34
1953-07-01,1.47
1953-08-01,2.08
1953-09-01,1.47
1953-10-01,0.42
1953-11-01,1.03
1953-12-01,3.81
1954-01-01,4.77
1954-02-01,3.83
1954-03-01,2.76
1954-04-01,1.08
1954-05-01,3.42
1954-06-01,2.82
1954-07-01,3.27
1954-08-01,3.18
1954-09-01,1.13
1954-10-01,6.76
1954-11-01,2.91
1954-12-01,3.95
1955-01-01,1.19
1955-02-01,3.87
1955-03-01,4.84
1955-04-01,3.84
1955-05-01,3.12
1955-06-01,3.7
1955-07-01,2.73
1955-08-01,4.7
1955-09-01,1.64
1955-10-01,1.61
1955-11-01,1.88
1955-12-01,0.84
1956-01-01,0.6
1956-02-01,4.87
1956-03-01,2.22
1956-04-01,3.12
1956-05-01,1.58
1956-06-01,1.72
1956-07-01,2.85
1956-08-01,2.58
1956-09-01,5.74
1956-10-01,6.8
1956-11-01,1.84
1956-12-01,1.91
1957-01-01,3.74
1957-02-01,5.31
1957-03-01,1.48
1957-04-01,4.55
1957-05-01,2.23
1957-06-01,5.35
1957-07-01,1.13
1957-08-01,1.2
1957-09-01,7.06
1957-10-01,2.37
1957-11-01,3.39
1957-12-01,2.46
1958-01-01,3.66
1958-02-01,3.4
1958-03-01,4.76
1958-04-01,2.83
1958-05-01,5.0
1958-06-01,1.88
1958-07-01,6.21
1958-08-01,3.28
1958-09-01,1.56
1958-10-01,1.12
1958-11-01,1.66
1958-12-01,4.15
1959-01-01,2.37
1959-02-01,1.04
1959-03-01,3.38
1959-04-01,4.27
1959-05-01,3.17
1959-06-01,2.82
1959-07-01,2.81
1959-08-01,4.49
1959-09-01,4.95
1959-10-01,3.97
1959-11-01,1.94
1959-12-01,2.18
1960-01-01,1.92
1960-02-01,7.17
1960-03-01,3.96
1960-04-01,2.19
1960-05-01,5.91
1960-06-01,1.46
1960-07-01,2.06
1960-08-01,4.69
1960-09-01,3.3
1960-10-01,3.62
1960-11-01,0.44
1960-12-01,2.23
1961-01-01,1.61
1961-02-01,4.5
1961-03-01,4.17
1961-04-01,3.86
1961-05-01,2.05
1961-06-01,3.79
1961-07-01,1.59
1961-08-01,5.41
1961-09-01,1.79
1961-10-01,3.35
1961-11-01,3.62
1961-12-01,5.07
1962-01-01,2.54
1962-02-01,3.22
1962-03-01,4.76
1962-04-01,1.69
1962-05-01,2.7
1962-06-01,3.08
1962-07-01,5.34
1962-08-01,3.55
1962-09-01,3.66
1962-10-01,2.22
1962-11-01,5.11
1962-12-01,3.35
1963-01-01,1.1
1963-02-01,1.97
1963-03-01,3.89
1963-04-01,0.87
1963-05-01,1.94
1963-06-01,2.61
1963-07-01,2.68
1963-08-01,1.81
1963-09-01,2.87
1963-10-01,0.27
1963-11-01,3.8
1963-12-01,1.86
1964-01-01,5.2
1964-02-01,5.33
1964-03-01,1.81
1964-04-01,3.54
1964-05-01,1.79
1964-06-01,1.97
1964-07-01,3.37
1964-08-01,3.54
1964-09-01,2.7
1964-10-01,2.8
1964-11-01,3.09
1964-12-01,2.73
1965-01-01,3.72
1965-02-01,3.53
1965-03-01,3.93
1965-04-01,1.7
1965-05-01,3.83
1965-06-01,1.83
1965-07-01,5.5
1965-08-01,1.16
1965-09-01,1.97
1965-10-01,3.42
1965-11-01,0.95
1965-12-01,0.18
1966-01-01,4.26
1966-02-01,4.78
1966-03-01,0.43
1966-04-01,2.59
1966-05-01,3.49
1966-06-01,1.54
1966-07-01,3.0
1966-08-01,4.73
1966-09-01,7.25
1966-10-01,4.04
1966-11-01,1.73
1966-12-01,3.25
1967-01-01,1.25
1967-02-01,2.51
1967-03-01,4.51
1967-04-01,1.67
1967-05-01,3.95
1967-06-01,3.19
1967-07-01,4.05
1967-08-01,6.36
1967-09-01,1.78
1967-10-01,2.42
1967-11-01,1.3
1967-12-01,4.84
1968-01-01,3.33
1968-02-01,0.56
1968-03-01,3.03
1968-04-01,2.73
1968-05-01,1.89
1968-06-01,2.11
1968-07-01,2.95
1968-08-01,5.36
1968-09-01,0.44
1968-10-01,8.06
1968-11-01,2.82
1968-12-01,1.8
1969-01-01,1.86
1969-02-01,2.74
1969-03-01,3.35
1969-04-01,1.4
1969-05-01,1.58
1969-06-01,4.95
1969-07-01,5.35
1969-08-01,5.41
1969-09-01,2.79
1969-10-01,2.22
1969-11-01,1.4
1969-12-01,5.54
1970-01-01,1.31
1970-02-01,2.36
1970-03-01,1.95
1970-04-01,2.8
1970-05-01,1.51
1970-06-01,4.87
1970-07-01,3.28
1970-08-01,6.4
1970-09-01,1.99
1970-10-01,7.51
1970-11-01,3.67
1970-12-01,2.81
1971-01-01,1.21
1971-02-01,5.13
1971-03-01,2.28
1971-04-01,2.55
1971-05-01,7.5
1971-06-01,4.84
1971-07-01,5.23
1971-08-01,4.46
1971-09-01,3.87
1971-10-01,6.75
1971-11-01,2.18
1971-12-01,0.83
1972-01-01,2.49
1972-02-01,4.8
1972-03-01,1.76
1972-04-01,3.31
1972-05-01,6.0
1972-06-01,7.55
1972-07-01,4.89
1972-08-01,2.62
1972-09-01,4.79
1972-10-01,3.18
1972-11-01,5.63
1972-12-01,4.62
1973-01-01,2.6
1973-02-01,2.95
1973-03-01,5.92
1973-04-01,5.39
1973-05-01,5.58
1973-06-01,3.65
1973-07-01,5.1
1973-08-01,3.34
1973-09-01,1.84
1973-10-01,4.28
1973-11-01,1.79
1973-12-01,5.6
1974-01-01,3.33
1974-02-01,2.13
1974-03-01,3.12
1974-04-01,1.86
1974-05-01,3.76
1974-06-01,2.93
1974-07-01,3.71
1974-08-01,4.93
1974-09-01,3.04
1974-10-01,0.77
1974-11-01,1.28
1974-12-01,3.16
1975-01-01,3.59
1975-02-01,3.05
1975-03-01,7.8
1975-04-01,2.04
1975-05-01,6.65
1975-06-01,1.54
1975-07-01,5.15
1975-08-01,5.68
1975-09-01,6.46
1975-10-01,3.01
1975-11-01,1.77
1975-12-01,3.67
1976-01-01,2.16
1976-02-01,1.27
1976-03-01,4.54
1976-04-01,0.48
1976-05-01,6.13
1976-06-01,5.2
1976-07-01,1.24
1976-08-01,2.2
1976-09-01,3.17
1976-10-01,9.72
1976-11-01,1.31
1976-12-01,2.59
1977-01-01,1.46
1977-02-01,0.73
1977-03-01,2.61
1977-04-01,3.5
1977-05-01,1.52
1977-06-01,2.41
1977-07-01,0.45
1977-08-01,2.29
1977-09-01,2.71
1977-10-01,4.7
1977-11-01,6.46
1977-12-01,2.49
1978-01-01,6.12
1978-02-01,0.65
1978-03-01,5.92
1978-04-01,7.54
1978-05-01,4.85
1978-06-01,2.05
1978-07-01,4.83
1978-08-01,6.33
1978-09-01,0.52
1978-10-01,0.78
1978-11-01,2.55
1978-12-01,3.15
1979-01-01,5.27
1979-02-01,5.37
1979-03-01,3.38
1979-04-01,3.99
1979-05-01,2.65
1979-06-01,5.78
1979-07-01,3.97
1979-08-01,3.37
1979-09-01,9.18
1979-10-01,3.56
