Date,Value
1947-03-01,2.22
1947-04-01,2.53
1947-05-01,4.69
1947-06-01,4.48
1947-07-01,3.33
1947-08-01,1.87
1947-09-01,6.38
1947-10-01,2.37
1947-11-01,7.03
1947-12-01,1.56
1948-01-01,4.11
1948-02-01,2.64
1948-03-01,5.52
1948-04-01,4.59
1948-05-01,6.32
1948-06-01,2.73
1948-07-01,4.08
1948-08-01,7.78
1948-09-01,2.96
1948-10-01,3.22
1948-11-01,5.49
1948-12-01,4.12
1949-01-01,3.35
1949-02-01,2.55
1949-03-01,2.12
1949-04-01,2.22
1949-05-01,5.11
1949-06-01,3.53
1949-07-01,6.34
1949-08-01,8.99
1949-09-01,2.64
1949-10-01,3.87
1949-11-01,1.88
1949-12-01,1.94
1950-01-01,2.17
1950-02-01,1.71
1950-03-01,3.2
1950-04-01,0.74
1950-05-01,4.27
1950-06-01,0.99
1950-07-01,6.69
1950-08-01,3.32
1950-09-01,4.04
1950-10-01,1.77
1950-11-01,1.74
1950-12-01,2.73
1951-01-01,1.08
1951-02-01,1.9
1951-03-01,2.85
1951-04-01,2.26
1951-05-01,2.51
1951-06-01,5.85
1951-07-01,2.63
1951-08-01,5.23
1951-09-01,0.98
1951-10-01,2.71
1951-11-01,4.52
1951-12-01,3.63
1952-01-01,5.71
1952-02-01,2.76
1952-03-01,5.05
1952-04-01,5.32
1952-05-01,3.72
1952-06-01,4.5
1952-07-01,2.71
1952-08-01,6.41
1952-09-01,2.35
1952-10-01,2.04
1952-11-01,6.42
1952-12-01,3.37
1953-01-01,4.47
1953-02-01,3.36
1953-03-01,3.95
1953-04-01,3.16
1953-05-01,2.35
1953-06-01,3.06
1953-07-01,2.04
1953-08-01,0.99
1953-09-01,6.84
1953-10-01,2.16
1953-11-01,1.85
1953-12-01,2.94
1954-01-01,3.7
1954-02-01,1.56
1954-03-01,2.44
1954-04-01,3.08
1954-05-01,4.36
1954-06-01,1.09
1954-07-01,1.3
1954-08-01,3.95
1954-09-01,0.69
1954-10-01,4.99
1954-11-01,1.86
1954-12-01,2.43
1955-01-01,1.09
1955-02-01,3.18
1955-03-01,2.66
1955-04-01,3.14
1955-05-01,1.79
1955-06-01,3.06
1955-07-01,7.93
1955-08-01,14.1
1955-09-01,5.79
1955-10-01,2.57
1955-11-01,1.76
1955-12-01,0.86
1956-01-01,1.65
1956-02-01,3.57
1956-03-01,3.06
1956-04-01,2.75
1956-05-01,4.35
1956-06-01,3.28
1956-07-01,10.32
1956-08-01,2.28
1956-09-01,2.96
1956-10-01,4.92
1956-11-01,6.11
1956-12-01,3.98
1957-01-01,3.36
1957-02-01,5.29
1957-03-01,2.82
1957-04-01,2.25
1957-05-01,2.75
1957-06-01,3.92
1957-07-01,1.8
1957-08-01,7.46
1957-09-01,3.43
1957-10-01,5.35
1957-11-01,5.3
1957-12-01,6.88
1958-01-01,2.96
1958-02-01,4.38
1958-03-01,3.81
1958-04-01,4.35
1958-05-01,5.79
1958-06-01,6.09
1958-07-01,3.27
1958-08-01,9.77
1958-09-01,1.9
1958-10-01,5.35
1958-11-01,1.43
1958-12-01,4.43
1959-01-01,1.31
1959-02-01,1.87
1959-03-01,2.92
1959-04-01,4.32
1959-05-01,2.44
1959-06-01,3.45
1959-07-01,12.85
1959-08-01,5.75
1959-09-01,3.3
1959-10-01,3.25
1959-11-01,7.64
1959-12-01,2.24
1960-01-01,2.13
1960-02-01,4.56
1960-03-01,3.29
1960-04-01,3.57
1960-05-01,3.59
1960-06-01,0.91
1960-07-01,7.34
1960-08-01,7.2
1960-09-01,6.21
1960-10-01,3.31
1960-11-01,0.85
1960-12-01,3.04
1961-01-01,2.57
1961-02-01,5.39
1961-03-01,4.02
1961-04-01,1.73
1961-05-01,4.83
1961-06-01,6.49
1961-07-01,2.85
1961-08-01,3.9
1961-09-01,1.64
1961-10-01,8.78
1961-11-01,1.81
1961-12-01,5.05
1962-01-01,5.95
1962-02-01,3.0
1962-03-01,4.87
1962-04-01,3.8
1962-05-01,4.08
1962-06-01,5.57
1962-07-01,5.65
1962-08-01,2.37
1962-09-01,3.46
1962-10-01,0.5
1962-11-01,6.73
1962-12-01,2.64
1963-01-01,1.55
1963-02-01,2.98
1963-03-01,5.62
1963-04-01,0.64
1963-05-01,2.39
1963-06-01,7.01
1963-07-01,0.52
1963-08-01,3.75
1963-09-01,3.2
1963-10-01,0.3
1963-11-01,6.7
1963-12-01,2.8
1964-01-01,4.16
1964-02-01,4.46
1964-03-01,2.61
1964-04-01,2.71
1964-05-01,1.14
1964-06-01,2.4
1964-07-01,6.46
1964-08-01,9.88
1964-09-01,2.56
1964-10-01,3.68
1964-11-01,1.98
1964-12-01,3.05
1965-01-01,2.51
1965-02-01,2.77
1965-03-01,3.68
1965-04-01,2.13
1965-05-01,0.87
1965-06-01,3.39
1965-07-01,6.33
1965-08-01,0.81
1965-09-01,4.81
1965-10-01,1.38
1965-11-01,0.36
1965-12-01,0.72
1966-01-01,4.58
1966-02-01,3.8
1966-03-01,0.94
1966-04-01,2.18
1966-05-01,2.58
1966-06-01,2.54
1966-07-01,4.07
1966-08-01,1.31
1966-09-01,5.06
1966-10-01,4.81
1966-11-01,1.31
1966-12-01,3.07
1967-01-01,1.5
1967-02-01,3.35
1967-03-01,2.34
1967-04-01,1.32
1967-05-01,3.71
1967-06-01,3.58
1967-07-01,5.0
1967-08-01,6.65
1967-09-01,0.95
1967-10-01,1.0
1967-11-01,1.76
1967-12-01,6.48
1968-01-01,2.53
1968-02-01,0.98
1968-03-01,4.0
1968-04-01,2.93
1968-05-01,3.13
1968-06-01,2.89
1968-07-01,3.41
1968-08-01,3.71
1968-09-01,1.78
1968-10-01,1.59
1968-11-01,3.87
1968-12-01,2.28
1969-01-01,2.04
1969-02-01,3.95
1969-03-01,3.95
1969-04-01,2.6
1969-05-01,3.32
1969-06-01,4.36
1969-07-01,13.9
1969-08-01,9.31
1969-09-01,3.89
1969-10-01,1.88
1969-11-01,1.87
1969-12-01,5.26
1970-01-01,1.32
1970-02-01,2.37
1970-03-01,3.7
1970-04-01,2.84
1970-05-01,1.84
1970-06-01,1.12
1970-07-01,4.74
1970-08-01,1.69
1970-09-01,1.02
1970-10-01,1.55
1970-11-01,3.1
1970-12-01,3.0
1971-01-01,1.84
1971-02-01,4.37
1971-03-01,2.68
1971-04-01,1.76
1971-05-01,6.82
1971-06-01,4.1
1971-07-01,4.4
1971-08-01,3.73
1971-09-01,2.35
1971-10-01,9.39
1971-11-01,2.76
1971-12-01,0.75
1972-01-01,1.43
1972-02-01,5.15
1972-03-01,2.11
1972-04-01,3.35
1972-05-01,8.87
1972-06-01,8.82
1972-07-01,5.8
1972-08-01,3.84
1972-09-01,3.35
1972-10-01,7.89
1972-11-01,5.82
1972-12-01,2.91
1973-01-01,2.66
1973-02-01,3.11
1973-03-01,3.44
1973-04-01,4.58
1973-05-01,3.56
1973-06-01,2.45
1973-07-01,3.64
1973-08-01,4.34
1973-09-01,1.82
1973-10-01,2.56
1973-11-01,1.27
1973-12-01,7.07
1974-01-01,3.21
1974-02-01,2.54
1974-03-01,3.79
1974-04-01,1.58
1974-05-01,3.02
1974-06-01,1.8
1974-07-01,2.25
1974-08-01,6.84
1974-09-01,4.83
1974-10-01,0.39
1974-11-01,1.23
1974-12-01,4.22
1975-01-01,5.71
1975-02-01,2.96
1975-03-01,8.04
1975-04-01,2.78
1975-05-01,2.59
1975-06-01,4.0
1975-07-01,12.29
1975-08-01,2.31
1975-09-01,10.98
1975-10-01,3.1
1975-11-01,2.04
1975-12-01,4.51
1976-01-01,3.39
1976-02-01,1.35
1976-03-01,2.14
1976-04-01,1.08
1976-05-01,3.76
1976-06-01,2.85
1976-07-01,2.63
1976-08-01,1.35
1976-09-01,4.78
1976-10-01,6.99
1976-11-01,1.88
1976-12-01,2.56
1977-01-01,2.22
1977-02-01,1.34
1977-03-01,2.67
1977-04-01,2.33
1977-05-01,3.99
1977-06-01,1.25
1977-07-01,4.2
1977-08-01,6.15
1977-09-01,2.16
1977-10-01,7.88
1977-11-01,4.32
1977-12-01,5.57
1978-01-01,7.97
1978-02-01,0.48
1978-03-01,5.67
1978-04-01,4.31
1978-05-01,3.92
1978-06-01,5.26
1978-07-01,4.24
1978-08-01,5.93
1978-09-01,0.26
1978-10-01,1.21
1978-11-01,4.57
1978-12-01,3.8
1979-01-01,6.16
1979-02-01,5.97
1979-03-01,2.59
1979-04-01,3.97
1979-05-01,3.8
1979-06-01,2.42
1979-07-01,4.36
1979-08-01,7.08
1979-09-01,9.76
1979-10-01,3.87
1979-11-01,5.5
1979-12-01,1.64
1980-01-01,6.05
1980-02-01,1.01
1980-03-01,5.49
1980-04-01,4.28
1980-05-01,4.68
1980-06-01,0.38
1980-07-01,5.18
1980-08-01,2.15
1980-09-01,2.37
1980-10-01,6.96
1980-11-01,2.18
1980-12-01,0.4
1981-01-01,0.64
1981-02-01,2.76
1981-03-01,1.52
1981-04-01,2.96
1981-05-01,6.62
1981-06-01,3.69
1981-07-01,4.01
1981-08-01,2.89
1981-09-01,2.7
1981-10-01,2.36
1981-11-01,0.68
1981-12-01,5.04
1982-01-01,2.76
1982-02-01,4.44
1982-03-01,3.74
